G_NUMBER	NAME_ALT2	GENOME_NAME	NAME_ORIGINAL	NAME_ALT1	N_NUMBER	PATIENT_ID	SEQ_MULTIPLE_LIBRARIES	PROVIDER	SEQ_FACILITY	PATH_ORIGINAL_FASTQS	LIBRARY_ID	PE_SE	DATE_SEQ	STATUS	FLAG_WARNING	WARNINGS	FASTQ_PATH	PATH_MAPPING_OUTPUT_V1	STATUS_MAPPING_V1	PATH_MAPPING_OUTPUT_V2	STATUS_MAPPING_V2	ANNEX_FILES	BIOPROJECT	SAMPLE_ACCESSION	RUN_ACCESSION	LINK_SRA	DATE_ISOLATION	COUNTRY_ISOLATION	COUNTRY_PATIENT_BIRTH	LINEAGE	SUBLINEAGE_GAGNEUX	SUBLINEAGE_COLL	GENOME_BASED_SPOLIGO	CONTACT_PERSON	COMMENTS	isolation_date	FQ.IN	NUMBER.READS	READ.TYPE	LNG	COVERAGE.MEAN	COVERAGE.SD	PERCENTAGE.NOT.COVERED	PERCENTAGE.LESS.5	NUMBER.ALL.VARIANTS	HOMO.SNPS	HET.SNPs	HOMO_HET.RATIO	NUMBER.INDELS	MAPPING.PERCENTAGE	DROPPED.TRIMMOMATIC	MEAN.READ.LENGHT	INSERT.SIZE.MEAN	PERCENTAGE.MTB	PERCENTAGE.NTMS	PERCENTAGE.UNCLASSIFIED	MERGING.OVERLAPPING.READS	LINAGE	LINEAGE_PROC	SUBLINEAGE	DR_STRINGENT_OUT	DR_EXTENDED_OUT	CM_OUT	KDV_OUT	PDM_OUT
G701187	ECF-13-R233	G701187	SAMEA14459837	ERX9333295	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786019_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786019_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA14459837	ERR9786019	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/009/ERR9786019/ERR9786019_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/009/ERR9786019/ERR9786019_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	07-06-2013	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786019_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786019_2.fastq.gz	1373098	PE	NA	93	28	0.007	0.014	1371	986	95	0.1	212	98.88%	0.23%	253	754	99.81	0.06	0.09	28.58%	L1 (3/4)	L1	L1.1.1	Susceptible|Susceptible	Susceptible|Susceptible	0	0	0
G701188	ECF-13-S269	G701188	SAMEA14459838	ERX9333296	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786020_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786020_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA14459838	ERR9786020	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/000/ERR9786020/ERR9786020_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/000/ERR9786020/ERR9786020_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	11-12-2013	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786020_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786020_2.fastq.gz	541608	PE	NA	37	14	0.011	0.026	1614	999	155	0.16	293	98.88%	0.30%	253	750	99.78	0.06	0.1	28.75%	L1 (3/4)	L1	L1.1.1	Susceptible|Susceptible	Susceptible|Susceptible	0	0	1
G701190	ECF-14-2333	G701190	SAMEA14459840	ERX9333298	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786022_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786022_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA14459840	ERR9786022	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/002/ERR9786022/ERR9786022_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/002/ERR9786022/ERR9786022_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	27-11-2014	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786022_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786022_2.fastq.gz	1226844	PE	NA	76	22	0.011	0.02	2458	1012	124	0.12	792	98.58%	0.13%	254	576	99.87	0.03	0.09	18.68%	L1 (3/4)	L1	L1.1.1	Susceptible|Susceptible	RIF-Mono|RIF-Mono	0	0	5
G701191	ECF-14-F129	G701191	SAMEA14459841	ERX9333299	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786023_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786023_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA14459841	ERR9786023	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/003/ERR9786023/ERR9786023_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/003/ERR9786023/ERR9786023_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	13-03-2014	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786023_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786023_2.fastq.gz	914139	PE	NA	56	16	0.007	0.013	1521	1001	132	0.13	264	98.89%	0.21%	253	667	99.78	0.07	0.09	45.69%	L1 (3/4)	L1	L1.1.1	Susceptible|Susceptible	Susceptible|Susceptible	0	0	1
G701192	ECF-14-F136	G701192	SAMEA14459842	ERX9333300	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786024_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786024_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA14459842	ERR9786024	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/004/ERR9786024/ERR9786024_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/004/ERR9786024/ERR9786024_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	24-03-2014	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786024_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786024_2.fastq.gz	1151983	PE	NA	72	21	0.008	0.015	1696	1009	68	0.07	245	98.88%	0.20%	253	661	99.82	0.07	0.08	42.30%	L1 (3/4)	L1	L1.1.1	Susceptible|Susceptible	Susceptible|Susceptible	0	0	0
G701193	ECF-14-H146	G701193	SAMEA14459843	ERX9333301	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786025_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786025_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA14459843	ERR9786025	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/005/ERR9786025/ERR9786025_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/005/ERR9786025/ERR9786025_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	27-10-2014	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786025_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786025_2.fastq.gz	429431	PE	NA	32	10	0.011	0.021	1227	882	83	0.09	191	99.06%	0.13%	253	674	99.84	0.07	0.05	36.00%	L1 (3/4)	L1	L1.1.1.1	Susceptible|Susceptible	Susceptible|Susceptible	0	0	0
G701194	ECF-14-J180	G701194	SAMEA14459844	ERX9333302	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786026_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786026_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA14459844	ERR9786026	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/006/ERR9786026/ERR9786026_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/006/ERR9786026/ERR9786026_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	29-09-2014	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786026_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786026_2.fastq.gz	466051	PE	NA	28	9	0.009	0.024	1252	914	123	0.13	187	99.09%	0.18%	253	766	99.84	0.07	0.06	49.91%	L1 (3/4)	L1	L1.1.2	Susceptible|Susceptible	Susceptible|Susceptible	0	0	0
G701197	ECF-14-S147	G701197	SAMEA14459847	ERX9333305	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786029_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786029_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA14459847	ERR9786029	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/009/ERR9786029/ERR9786029_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/009/ERR9786029/ERR9786029_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	27-02-2014	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786029_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786029_2.fastq.gz	631132	PE	NA	40	12	0.011	0.025	1296	941	125	0.13	192	98.93%	0.27%	253	688	99.8	0.04	0.08	32.86%	L1 (3/4)	L1	L1.1.2	Susceptible|Susceptible	Susceptible|Susceptible	0	0	0
G701198	ECF-14-S221	G701198	SAMEA14459848	ERX9333306	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786030_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786030_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA14459848	ERR9786030	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/000/ERR9786030/ERR9786030_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/000/ERR9786030/ERR9786030_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	08-07-2014	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786030_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786030_2.fastq.gz	1467474	PE	NA	93	27	0.009	0.016	1360	959	117	0.12	221	98.99%	0.18%	253	616	99.88	0.03	0.07	41.62%	L1 (3/4)	L1	L1.1.1	Susceptible|Susceptible	Susceptible|Susceptible	0	0	0
G701199	ECF-09-G498	G701199	SAMEA14459849	ERX9333307	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786031_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786031_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA14459849	ERR9786031	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/001/ERR9786031/ERR9786031_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/001/ERR9786031/ERR9786031_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	11-06-2012	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786031_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786031_2.fastq.gz	2359438	PE	NA	130	31	0.008	0.01	1385	869	28	0.03	231	99.34%	0.08%	253	611	99.88	0.05	0.03	55.19%	L2 (4/4)	L2	L2.2.1/Asia_Ancestral3	Susceptible|Susceptible	Susceptible|Susceptible	0	0	8
